tag,dag,segundos,run_id,timestamp_utc,lotes,registros,volume_total
C2_rep10,dag_silver_transform,226.242,perf_C2_rep10_dag_silver_transform_1784688384,2026-07-22T02:50:12Z,200,500,800000
C2_rep10,dag_gold_refresh,139.686,perf_C2_rep10_dag_gold_refresh_1784688612,2026-07-22T02:52:34Z,200,500,800000
C2_rep11,dag_ingestao_bronze,66.949,perf_C2_rep11_dag_ingestao_bronze_1784688871,2026-07-22T02:55:40Z,200,500,800000
C2_rep11,dag_silver_transform,219.489,perf_C2_rep11_dag_silver_transform_1784688941,2026-07-22T02:59:22Z,200,500,800000
C2_rep11,dag_gold_refresh,123.113,perf_C2_rep11_dag_gold_refresh_1784689162,2026-07-22T03:01:27Z,200,500,800000
C2_rep12,dag_ingestao_bronze,67.200,perf_C2_rep12_dag_ingestao_bronze_1784689402,2026-07-22T03:04:31Z,200,500,800000
C2_rep12,dag_silver_transform,232.243,perf_C2_rep12_dag_silver_transform_1784689471,2026-07-22T03:08:25Z,200,500,800000
C2_rep12,dag_gold_refresh,123.485,perf_C2_rep12_dag_gold_refresh_1784689706,2026-07-22T03:10:31Z,200,500,800000
C4_rep1,dag_ingestao_bronze,67.256,perf_C4_rep1_dag_ingestao_bronze_1784689938,2026-07-22T03:13:27Z,200,500,800000
C4_rep1,dag_silver_transform,206.507,perf_C4_rep1_dag_silver_transform_1784690007,2026-07-22T03:16:56Z,200,500,800000
C4_rep1,dag_gold_refresh,123.369,perf_C4_rep1_dag_gold_refresh_1784690216,2026-07-22T03:19:01Z,200,500,800000
C4_rep2,dag_ingestao_bronze,67.462,perf_C4_rep2_dag_ingestao_bronze_1784690451,2026-07-22T03:22:00Z,200,500,800000
C4_rep2,dag_silver_transform,213.339,perf_C4_rep2_dag_silver_transform_1784690521,2026-07-22T03:25:36Z,200,500,800000
C4_rep2,dag_gold_refresh,123.630,perf_C4_rep2_dag_gold_refresh_1784690736,2026-07-22T03:27:42Z,200,500,800000
C4_rep3,dag_ingestao_bronze,67.062,perf_C4_rep3_dag_ingestao_bronze_1784690979,2026-07-22T03:30:48Z,200,500,800000
C4_rep3,dag_silver_transform,212.864,perf_C4_rep3_dag_silver_transform_1784691048,2026-07-22T03:34:22Z,200,500,800000
C4_rep3,dag_gold_refresh,129.857,perf_C4_rep3_dag_gold_refresh_1784691262,2026-07-22T03:36:34Z,200,500,800000
C4_rep4,dag_ingestao_bronze,67.063,perf_C4_rep4_dag_ingestao_bronze_1784691504,2026-07-22T03:39:33Z,200,500,800000
C4_rep4,dag_silver_transform,213.508,perf_C4_rep4_dag_silver_transform_1784691573,2026-07-22T03:43:08Z,200,500,800000
C4_rep4,dag_gold_refresh,123.116,perf_C4_rep4_dag_gold_refresh_1784691788,2026-07-22T03:45:13Z,200,500,800000
C4_rep5,dag_ingestao_bronze,66.994,perf_C4_rep5_dag_ingestao_bronze_1784692022,2026-07-22T03:48:11Z,200,500,800000
C4_rep5,dag_silver_transform,212.830,perf_C4_rep5_dag_silver_transform_1784692092,2026-07-22T03:51:46Z,200,500,800000
C4_rep5,dag_gold_refresh,130.080,perf_C4_rep5_dag_gold_refresh_1784692307,2026-07-22T03:53:59Z,200,500,800000
C4_rep6,dag_ingestao_bronze,67.222,perf_C4_rep6_dag_ingestao_bronze_1784692558,2026-07-22T03:57:07Z,200,500,800000
